Step, Strands, <Q>, piYX, trouton_1, trouton_2
369, 905, 0.212942, 0.006126, 6.923037, -0.006435
370, 904, 0.213158, 0.006447, 7.040788, -0.006440
371, 911, 0.212537, -0.003254, 7.150336, -0.007861
372, 915, 0.212739, -0.004172, 7.251740, -0.008228
373, 914, 0.212346, -0.000491, 7.151402, -0.010081
374, 916, 0.211653, 0.001483, 6.921158, -0.012078
375, 919, 0.211513, 0.000794, 6.791732, -0.018728
376, 916, 0.212193, 0.001713, 6.899855, -0.013535
377, 919, 0.212424, 0.001091, 7.031534, -0.023232
378, 920, 0.212956, 0.005241, 7.153344, -0.020596
379, 924, 0.212343, 0.006347, 7.203366, -0.010112
380, 923, 0.212414, 0.008552, 7.191516, 0.007374
381, 932, 0.212873, 0.007472, 7.313979, -0.004487
382, 938, 0.212288, 0.008649, 7.317577, -0.005577
383, 936, 0.212620, 0.015488, 7.336975, -0.013187
384, 937, 0.212478, 0.018311, 7.352676, -0.020971
385, 933, 0.212400, 0.012987, 7.460630, -0.010436
386, 925, 0.212341, 0.008028, 7.478876, -0.011694
387, 920, 0.212822, 0.010415, 7.513938, -0.015846
388, 927, 0.211555, 0.016556, 7.211930, -0.009177
389, 925, 0.211053, 0.018904, 7.230941, -0.010065
390, 930, 0.210980, 0.020543, 7.319553, -0.005835
391, 931, 0.211747, 0.021459, 7.458612, -0.011320
392, 940, 0.211030, 0.013882, 7.223643, -0.007735
393, 941, 0.212136, 0.010340, 7.359099, -0.014433
394, 938, 0.212883, 0.009941, 7.477587, -0.024293
395, 939, 0.213685, 0.004302, 7.656528, -0.020774
396, 941, 0.214439, 0.001814, 7.815287, -0.022955
397, 938, 0.213598, 0.004693, 7.828029, -0.018220
398, 938, 0.214398, 0.002897, 7.931278, -0.024789
399, 942, 0.215322, 0.001959, 8.102656, -0.027079
400, 951, 0.214260, 0.005016, 8.079338, -0.026923
401, 949, 0.213446, 0.006848, 7.912691, -0.017897
402, 937, 0.214960, 0.007744, 8.054209, -0.010579
403, 938, 0.215257, 0.003651, 8.186855, 0.005001
404, 950, 0.213370, 0.005709, 7.700505, 0.008875
405, 946, 0.213263, 0.004263, 7.668181, 0.004952
406, 941, 0.214026, 0.008644, 7.795065, 0.015579
407, 937, 0.214544, -0.000356, 7.911728, 0.020206
408, 939, 0.214001, 0.001015, 7.938676, 0.016300
409, 933, 0.214287, -0.004395, 7.725280, 0.002831
410, 933, 0.213816, -0.004131, 7.669598, 0.000409
411, 937, 0.213357, -0.005816, 7.597273, 0.003074
412, 934, 0.214296, -0.009050, 7.419886, 0.004754
413, 936, 0.215503, -0.013315, 7.603526, 0.016045
414, 936, 0.215307, -0.012242, 7.671813, 0.015526
415, 939, 0.213276, -0.012663, 7.511855, 0.016090
416, 935, 0.213277, -0.009146, 7.458524, 0.014499
417, 940, 0.213112, -0.005650, 7.559723, 0.012395
418, 941, 0.213468, -0.004016, 7.663758, 0.028657
419, 948, 0.213241, -0.008271, 7.759701, 0.024557
420, 946, 0.213382, -0.012938, 7.855810, 0.024024
421, 950, 0.213088, -0.015933, 7.940003, 0.019878
422, 954, 0.213008, -0.018246, 8.060199, 0.016359
423, 953, 0.213507, -0.022918, 8.178373, 0.014523
424, 956, 0.213335, -0.020769, 8.078556, -0.001754
425, 962, 0.213346, -0.017714, 8.210656, 0.017527
426, 964, 0.214031, -0.017781, 8.371054, 0.010826
427, 966, 0.213510, -0.018833, 8.346775, -0.008374
428, 962, 0.213903, -0.018258, 8.403167, -0.010156
429, 959, 0.213845, -0.018495, 8.366128, -0.015900
430, 959, 0.214759, -0.019518, 8.500484, 0.003836
431, 964, 0.214344, -0.015431, 8.499245, 0.019487
432, 966, 0.214353, -0.017902, 8.648006, 0.019572
433, 961, 0.214513, -0.015219, 8.640873, 0.017222
434, 958, 0.214896, -0.013186, 8.708031, 0.024026
435, 952, 0.215352, -0.018548, 8.562227, 0.021527
436, 958, 0.215927, -0.013715, 8.725390, 0.027881
437, 960, 0.216217, -0.016227, 8.915001, 0.026286
438, 950, 0.217663, -0.015048, 9.049939, 0.021971
439, 954, 0.218359, -0.012724, 9.197789, -0.005801
440, 955, 0.218384, -0.020087, 8.598432, -0.016506
441, 951, 0.218496, -0.016690, 8.597750, -0.018266
442, 952, 0.216094, -0.027957, 7.779991, -0.027855
443, 957, 0.216156, -0.025648, 7.895298, -0.030240
444, 950, 0.215167, -0.019281, 7.608607, -0.040516
445, 940, 0.215541, -0.022591, 7.680611, -0.044144
446, 937, 0.216176, -0.019526, 7.831429, -0.038934
447, 931, 0.216489, -0.015990, 7.737925, -0.052306
448, 926, 0.216144, -0.018619, 7.747074, -0.050351
449, 929, 0.216595, -0.018138, 7.904354, -0.046655
